Material,Crack Length (mm),Test Temperature (F),Material Thickness (mm),Failure Load (kN),Source
A36 Steel,3.683,70.0,3.25,27.0,experimental
A36 Steel,3.683,70.0,3.25,27.9,experimental
A36 Steel,3.683,70.0,3.25,27.8,experimental
A36 Steel,3.683,145.0,3.25,27.3,experimental
A36 Steel,3.683,145.0,3.25,27.6,experimental
A36 Steel,3.683,145.0,3.25,27.8,experimental
A36 Steel,3.683,-60.0,3.25,26.4,experimental
A36 Steel,3.683,-60.0,3.25,26.9,experimental
A36 Steel,3.683,-60.0,3.25,27.3,experimental
Al 6061,3.683,70.0,3.15,17.1,experimental
Al 6061,3.683,70.0,3.15,17.3,experimental
Al 6061,3.683,70.0,3.15,17.0,experimental
Al 6061,3.683,145.0,3.15,16.8,experimental
Al 6061,3.683,145.0,3.15,16.5,experimental
Al 6061,3.683,145.0,3.15,16.3,experimental
Al 6061,3.683,-60.0,3.15,16.8,experimental
Al 6061,3.683,-60.0,3.15,16.5,experimental
Al 6061,3.683,-60.0,3.15,16.9,experimental
Al 6061,3.683,70.0,4.65,25.6,experimental
Al 6061,3.683,70.0,4.65,25.3,experimental
Al 6061,3.683,70.0,4.65,25.9,experimental
Al 6061,3.683,145.0,4.65,25.7,experimental
Al 6061,3.683,145.0,4.65,25.2,experimental
Al 6061,3.683,145.0,4.65,25.5,experimental
Al 6061,3.683,-60.0,4.65,25.0,experimental
Al 6061,3.683,-60.0,4.65,25.5,experimental
Al 6061,3.683,-60.0,4.65,25.2,experimental
Al 6061,3.048,70.0,2.0,12.1434885712678,calculated
Al 6061,4.948,70.0,2.0,8.94247089226837,calculated
Al 6061,7.62,70.0,2.0,6.10651639445209,calculated
Al 6061,3.048,70.0,3.15,19.1259944997467,calculated
Al 6061,4.948,70.0,3.15,14.0843916553227,calculated
Al 6061,7.62,70.0,3.15,9.61776332126204,calculated
Al 6061,3.048,145.0,2.0,11.717497855486,calculated
Al 6061,4.948,145.0,2.0,8.6287711219019,calculated
Al 6061,7.62,145.0,2.0,5.89230123918275,calculated
Al 6061,3.048,145.0,3.15,18.4550591223905,calculated
Al 6061,4.948,145.0,3.15,13.5903145169955,calculated
Al 6061,7.62,145.0,3.15,9.28037445171284,calculated
Al 6061,3.048,-60.0,2.0,11.9302429250598,calculated
Al 6061,4.948,-60.0,2.0,8.78543669464661,calculated
Al 6061,7.62,-60.0,2.0,5.99928295597414,calculated
Al 6061,3.048,-60.0,3.15,18.7901326069691,calculated
Al 6061,4.948,-60.0,3.15,13.8370627940684,calculated
Al 6061,7.62,-60.0,3.15,9.44887065565926,calculated
A36 Steel,3.048,70.0,2.0,20.018059605301,calculated
A36 Steel,4.948,70.0,2.0,14.7413088330851,calculated
A36 Steel,7.62,70.0,2.0,10.0663502458526,calculated
A36 Steel,3.048,70.0,3.25,32.5293468586142,calculated
A36 Steel,4.948,70.0,3.25,23.9546268537633,calculated
A36 Steel,7.62,70.0,3.25,16.3578191495105,calculated
A36 Steel,3.048,70.0,4.0,40.0361192106021,calculated
A36 Steel,4.948,70.0,4.0,29.4826176661703,calculated
A36 Steel,7.62,70.0,4.0,20.1327004917053,calculated
A36 Steel,3.048,145.0,2.0,20.0105509557867,calculated
A36 Steel,4.948,145.0,2.0,14.7357794599294,calculated
A36 Steel,7.62,145.0,2.0,10.0625744205541,calculated
A36 Steel,3.048,145.0,3.25,32.5171453031534,calculated
A36 Steel,4.948,145.0,3.25,23.9456416223853,calculated
A36 Steel,7.62,145.0,3.25,16.3516834334004,calculated
A36 Steel,3.048,145.0,4.0,40.0211019115734,calculated
A36 Steel,4.948,145.0,4.0,29.4715589198589,calculated
A36 Steel,7.62,145.0,4.0,20.1251488411082,calculated
A36 Steel,3.048,-60.0,2.0,19.5099743214956,calculated
A36 Steel,4.948,-60.0,2.0,14.367154582883,calculated
A36 Steel,7.62,-60.0,2.0,9.81085273398615,calculated
A36 Steel,3.048,-60.0,3.25,31.7037082724303,calculated
A36 Steel,4.948,-60.0,3.25,23.346626197185,calculated
A36 Steel,7.62,-60.0,3.25,15.9426356927275,calculated
A36 Steel,3.048,-60.0,4.0,39.0199486429912,calculated
A36 Steel,4.948,-60.0,4.0,28.7343091657661,calculated
A36 Steel,7.62,-60.0,4.0,19.6217054679723,calculated
Al 6061,3.683,145.0,4.65,25.63534812341756,synthetic
Al 6061,3.683,70.0,4.65,25.273840171981707,synthetic
Al 6061,3.683,70.0,4.65,25.301716275154533,synthetic
Al 6061,3.683,-60.0,4.65,25.241381362827592,synthetic
Al 6061,3.683,70.0,4.65,25.24684134367509,synthetic
Al 6061,3.683,70.0,4.65,25.553323803108427,synthetic
Al 6061,3.683,70.0,4.65,25.622187519986902,synthetic
Al 6061,3.683,145.0,4.65,25.371411467108146,synthetic
Al 6061,3.683,-60.0,4.65,25.51564593269968,synthetic
Al 6061,3.683,70.0,4.65,25.353968073462468,synthetic
Al 6061,3.683,145.0,4.65,25.53150852133085,synthetic
Al 6061,3.683,-60.0,4.65,24.831962512883376,synthetic
Al 6061,3.683,-60.0,4.65,25.336488796572816,synthetic
Al 6061,3.683,70.0,4.65,25.353843804411373,synthetic
Al 6061,3.683,-60.0,4.65,25.321796231039784,synthetic
Al 6061,3.683,-60.0,4.65,25.219668901229745,synthetic
Al 6061,3.683,70.0,4.65,25.342290859365118,synthetic
